topic_id,priority,topic,source,channel,playlist,playlist_url,video_position,video_title,duration_min,resume_linked,status
P0-06,P0,Streams + functional interfaces + lambdas,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,28,Streams in Java8 | Collections in Java - Part7,75,no,not_started
P0-07,P0,Threads + ThreadPoolExecutor,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,29,"Multithreading and Concurrency in Java: Part1 | Threads, Process and their Memory Model in depth",48,yes,not_started
P0-07,P0,Threads + ThreadPoolExecutor,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,34,Thread Pools in Java | ThreadPoolExecutor Framework | Multithreading Part6,77,yes,not_started
P0-08,P0,CompletableFuture + @Async,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,35,Java8 CompletableFuture | Future and Callable in Java | Multithreading in Java - Part7,66,yes,not_started
P0-08,P0,CompletableFuture + @Async,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,16,Spring boot @Async Annotation - Part1 | ThreadPoolExecutor,46,yes,not_started
P0-08,P0,CompletableFuture + @Async,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,17,Spring boot @Async Annotation - Part2 | Async Annotation Important Interview questions,24,yes,not_started
P0-09,P0,"volatile, atomics, CAS + Java Memory Model",CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,33,Lock-Free Concurrency | Compare-and-Swap | Atomic & Volatile Variables | Multithreading Part5,64,no,not_started
P0-09,P0,"volatile, atomics, CAS + Java Memory Model",DT,Defog Tech,Java Concurrency,https://www.youtube.com/playlist?list=PLhfHPmPYPPRk6yMrcbfafFGSbE2EPK_A6,4,Java Memory Model in 10 minutes,11,no,not_started
P0-10,P0,"Locks - Reentrant, ReadWrite, Semaphore",CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,32,"Locks and Condition | Java Multithreading Part4 | Reentrant, ReadWrite, Stamped & Semaphore Lock",47,no,not_started
P1-11,P1,Kafka fundamentals + consumer groups,JT-K,Java Techie,Kafka for beginners,https://www.youtube.com/playlist?list=PLVz2XdJiJQxwpWGoNokohsSW2CysI6lDc,2,Apache Kafka Components & Architecture Detailed Explanation in 15 min,16,yes,not_started
P1-11,P1,Kafka fundamentals + consumer groups,JT-K,Java Techie,Kafka for beginners,https://www.youtube.com/playlist?list=PLVz2XdJiJQxwpWGoNokohsSW2CysI6lDc,7,Apache Kafka Producer Example using SpringBoot 3.x,26,yes,not_started
P1-11,P1,Kafka fundamentals + consumer groups,JT-K,Java Techie,Kafka for beginners,https://www.youtube.com/playlist?list=PLVz2XdJiJQxwpWGoNokohsSW2CysI6lDc,8,Apache Kafka Consumer Example using SpringBoot 3 | Consumer Groups,28,yes,not_started
P1-12,P1,"Kafka ordering, idempotency, exactly-once",JT-K,Java Techie,Kafka for beginners,https://www.youtube.com/playlist?list=PLVz2XdJiJQxwpWGoNokohsSW2CysI6lDc,15,Does Kafka Guarantee Message Ordering? | Microservices Fix Inside!,28,yes,not_started
P1-12,P1,"Kafka ordering, idempotency, exactly-once",JT-K,Java Techie,Kafka for beginners,https://www.youtube.com/playlist?list=PLVz2XdJiJQxwpWGoNokohsSW2CysI6lDc,16,Why Kafka Processes the Same Message Twice? | Kafka Idempotency Real-Time Example,24,yes,not_started
P1-13,P1,"Kafka error handling, retries, DLT",JT-K,Java Techie,Kafka for beginners,https://www.youtube.com/playlist?list=PLVz2XdJiJQxwpWGoNokohsSW2CysI6lDc,13,Kafka Error Handling with Spring Boot | Retry Strategies & Dead Letter Topics,29,yes,not_started
P1-14,P1,Feature flags + externalized config,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,10,Spring boot @ConditionalOnProperty Annotation,20,yes,not_started
P1-14,P1,Feature flags + externalized config,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,11,Spring boot @Profile annotation | How Profiling works in Spring boot,33,yes,not_started
P1-14,P1,Feature flags + externalized config,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,44,Spring Boot: ConfigurationProperties in-depth,24,yes,not_started
P1-15,P1,Circuit breaker + retry (Resilience4j),JT-M,Java Techie,Microservice,https://www.youtube.com/playlist?list=PLVz2XdJiJQxxWhFkucZBoMxeYE6qTgEF8,10,Microservice | Resilience4J Circuit Breaker Implementation on Spring Boot,25,no,not_started
P1-15,P1,Circuit breaker + retry (Resilience4j),JT-M,Java Techie,Microservice,https://www.youtube.com/playlist?list=PLVz2XdJiJQxxWhFkucZBoMxeYE6qTgEF8,11,Microservice | Resilience4J Retry Module Implementation With Spring Boot,13,no,not_started
P1-16,P1,Service discovery + API gateway,JT-M,Java Techie,Microservice,https://www.youtube.com/playlist?list=PLVz2XdJiJQxxWhFkucZBoMxeYE6qTgEF8,1,Microservice | Spring Cloud Eureka + API Gateway + Spring Cloud Hystrix | PART-1,40,yes,not_started
P1-16,P1,Service discovery + API gateway,JT-M,Java Techie,Microservice,https://www.youtube.com/playlist?list=PLVz2XdJiJQxxWhFkucZBoMxeYE6qTgEF8,2,Microservice | Spring Cloud Eureka + Gateway + Hystrix | PART-2,18,yes,not_started
P1-17,P1,Distributed tracing,JT-M,Java Techie,Microservice,https://www.youtube.com/playlist?list=PLVz2XdJiJQxxWhFkucZBoMxeYE6qTgEF8,7,Microservice | Distributed log tracing using Spring Cloud Sleuth & Zipkin | PART-7,15,yes,not_started
P1-18,P1,OAuth 2.0,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,40,OAuth 2.0: Explained with API Request and Response Sample | High Level System Design,35,yes,not_started
P1-18,P1,OAuth 2.0,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,41,Spring boot: Security (Part-8) | OAUTH2 Authentication Implementation,52,yes,not_started
P1-19,P1,JWT + stateless auth,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,37,Spring boot: Security (Part-4) | Basic Authentication & Authorization | Stateless Authentication,20,no,not_started
P1-19,P1,JWT + stateless auth,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,38,JWT Explained | JWT vs SessionID | JSON Web Token | Security Challenges with JWT & its Handling,49,no,not_started
P1-20,P1,Exception handling / @ControllerAdvice,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,22,Spring boot - Exception Handling | @ControllerAdvice | @ResponseStatus | @ExceptionHandler,56,no,not_started
P1-21,P1,REST + ResponseEntity + status codes,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,21,"Spring boot ResponseEntity and Response Codes | 1xx, 2xx, 3xx, 4xx and 5xx Return Codes",43,no,not_started
P1-22,P1,JVM memory + garbage collection,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,10,Java Memory Management and Garbage Collection in Depth,49,yes,not_started
P1-23,P1,Immutable classes + Singleton,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,14,Java Singleton and Immutable Class Explained with Examples | Java Classes in Depth - Part4,28,no,not_started
P1-24,P1,Generics,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,12,Java Generic Classes | Java Classes in Depth - Part2,52,no,not_started
P2-25,P2,JPA second-level caching,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,26,Spring boot: JPA (Part-4) | Second Level Caching | L2 Caching,41,yes,not_started
P2-26,P2,JPA relationships,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,28,Spring boot: JPA (Part-6) | OneToOne Unidirectional and Bidirectional Mapping,66,no,not_started
P2-26,P2,JPA relationships,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,29,"Spring boot: JPA (Part-7) | OneToMany, ManyToOne & ManyToMany Unidirectional & Bidirectional Mapping",59,no,not_started
P2-27,P2,Criteria API + Specification API,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,31,Spring boot: JPA (Part-9) | Native Query and Criteria API,44,no,not_started
P2-27,P2,Criteria API + Specification API,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,32,"Spring boot: JPA (Part-10) | Specification API, Problem with Criteria API and its solution",14,no,not_started
P2-28,P2,Filters vs Interceptors,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,18,Spring boot: Custom Interceptors | How to Intercept Incoming HTTP Request and Custom Annotations,30,yes,not_started
P2-28,P2,Filters vs Interceptors,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,19,Spring boot: Filters vs Interceptors | Filters and Interceptors Advantage and UseCases for both,24,yes,not_started
P2-29,P2,Spring Security architecture,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,34,Spring boot: Security (Part-1) | Architecture and SetUp,18,no,not_started
P2-29,P2,Spring Security architecture,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,35,"Spring boot: Security (Part-2) | Multiple User Creation & Storing Username & Password | inMemory, DB",47,no,not_started
P2-30,P2,Method security / @PreAuthorize,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,42,Spring boot: Security (Part-9) | Method Security | Role based Authorization | @PreAuthorize and Post,29,no,not_started
P2-31,P2,Actuator,CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,43,Spring Boot Actuator in depth,31,no,not_started
P2-32,P2,"Web attacks - CSRF, XSS, CORS, SQLi",CC-SB,Concept && Coding - by Shrayansh,Spring Boot from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c60g6_fcjDCLHSx1LBeVYqyZ,33,"Understand Attacks: CSRF, XSS, CORS, SQL Injection with DEMO | Spring Security",25,no,not_started
P2-33,P2,ForkJoinPool,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,36,Java ForkJoinPool || WorkStealingPool || FixedThreadPool || CachedThreadPool,39,no,not_started
P2-33,P2,ForkJoinPool,DT,Defog Tech,Java Concurrency,https://www.youtube.com/playlist?list=PLhfHPmPYPPRk6yMrcbfafFGSbE2EPK_A6,20,Understanding how ForkJoinPool works,13,no,not_started
P2-34,P2,Virtual threads + ThreadLocal,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,38,Java VirtualThreads vs Normal Threads || ThreadLocal in Java,23,no,not_started
P2-35,P2,Deadlock detection,DT,Defog Tech,Java Concurrency,https://www.youtube.com/playlist?list=PLhfHPmPYPPRk6yMrcbfafFGSbE2EPK_A6,25,How detect and resolve DeadLocks in Java,11,no,not_started
P2-36,P2,Java 17/21 features,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,41,Java 17: Sealed Classes and Interfaces,11,no,not_started
P2-36,P2,Java 17/21 features,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,42,Java 14: Switch Expressions Deep Dive,23,no,not_started
P2-36,P2,Java 17/21 features,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,43,Java 16: Pattern Matching for instanceof,9,no,not_started
P2-36,P2,Java 17/21 features,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,44,Java 21: Pattern Matching for switch,9,no,not_started
P2-36,P2,Java 17/21 features,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,45,Java 16: Record class,36,no,not_started
P2-37,P2,Optional,CC-J,Concept && Coding - by Shrayansh,JAVA from Basics to Advanced,https://www.youtube.com/playlist?list=PL6W8uoQQ2c63f469AyV78np0rbxRFppkx,47,Master Java Optional from Java 8 to 11 | All Methods with Real Examples,74,no,not_started
P2-38,P2,Kubernetes basics,JT-K8,Java Techie,Kubernetes,https://www.youtube.com/playlist?list=PLVz2XdJiJQxybsyOxK7WFtteH42ayn5i9,1,Kubernetes Tutorial | Basic Introduction and Getting Started part-1,6,yes,not_started
P2-38,P2,Kubernetes basics,JT-K8,Java Techie,Kubernetes,https://www.youtube.com/playlist?list=PLVz2XdJiJQxybsyOxK7WFtteH42ayn5i9,2,Kubernetes Tutorial | K8s Components Explained in 10 mins | Part-2,10,yes,not_started
P2-38,P2,Kubernetes basics,JT-K8,Java Techie,Kubernetes,https://www.youtube.com/playlist?list=PLVz2XdJiJQxybsyOxK7WFtteH42ayn5i9,3,Kubernetes Tutorial | Kubernetes Basics & Architecture Explained in 10 mins | Part-3,11,yes,not_started
P2-39,P2,K8s deployment + ConfigMap/Secrets,JT-K8,Java Techie,Kubernetes,https://www.youtube.com/playlist?list=PLVz2XdJiJQxybsyOxK7WFtteH42ayn5i9,6,Kubernetes Tutorial | Run & Deploy Spring Boot Application in K8s Cluster using yaml configuration,21,yes,not_started
P2-39,P2,K8s deployment + ConfigMap/Secrets,JT-K8,Java Techie,Kubernetes,https://www.youtube.com/playlist?list=PLVz2XdJiJQxybsyOxK7WFtteH42ayn5i9,8,Kubernetes Tutorial | ConfigMap & Secrets Implementation in Spring Boot CRUD Example,28,yes,not_started
